Extraction des impliquants premiers
T: Déjà Traité  P: Premier  A: en attente

Groupage N°1
T 00000000001
T 00000000011
T 00000000101
T 00000001001
T 00000010001
T 00000100001
T 00001000001
T 00010000001
T 00100000001
T 01000000001
T 10000000001
T 00000000111
T 00000001011
T 00000001101
T 00000010011
T 00000010101
T 00000011001
T 00000100011
T 00000100101
T 00000101001
T 00000110001
T 00001000011
T 00001000101
T 00001001001
T 00001010001
T 00001100001
T 00010000011
T 00010000101
T 00010001001
T 00010010001
T 00010100001
T 00011000001
T 00100000011
T 00100000101
T 00100001001
T 00100010001
T 00100100001
T 00101000001
T 00110000001
T 01000000011
T 01000000101
T 01000001001
T 01000010001
T 01000100001
T 01001000001
T 01010000001
T 01100000001
T 10000000011
T 10000000101
T 10000001001
T 10000010001
T 10000100001
T 10001000001
T 10010000001
T 10100000001
T 11000000001
T 00000001111
T 00000010111
T 00000011011
T 00000011101
T 00000100111
T 00000101011
T 00000101101
T 00000110011
T 00000110101
T 00000111001
T 00001000111
T 00001001011
T 00001001101
T 00001010011
T 00001010101
T 00001011001
T 00001100011
T 00001100101
T 00001101001
T 00001110001
T 00010000111
T 00010001011
T 00010001101
T 00010010011
T 00010010101
T 00010011001
T 00010100011
T 00010100101
T 00010101001
T 00010110001
T 00011000011
T 00011000101
T 00011001001
T 00011010001
T 00011100001
T 00100000111
T 00100001011
T 00100001101
T 00100010011
T 00100010101
T 00100011001
T 00100100011
T 00100100101
T 00100101001
T 00100110001
T 00101000011
T 00101000101
T 00101001001
T 00101010001
T 00101100001
T 00110000011
T 00110000101
T 00110001001
T 00110010001
T 00110100001
T 00111000001
T 01000000111
T 01000001011
T 01000001101
T 01000010011
T 01000010101
T 01000011001
T 01000100011
T 01000100101
T 01000101001
T 01000110001
T 01001000011
T 01001000101
T 01001001001
T 01001010001
T 01001100001
T 01010000011
T 01010000101
T 01010001001
T 01010010001
T 01010100001
T 01011000001
T 01100000011
T 01100000101
T 01100001001
T 01100010001
T 01100100001
T 01101000001
T 01110000001
T 10000000111
T 10000001011
T 10000001101
T 10000010011
T 10000010101
T 10000011001
T 10000100011
T 10000100101
T 10000101001
T 10000110001
T 10001000011
T 10001000101
T 10001001001
T 10001010001
T 10001100001
T 10010000011
T 10010000101
T 10010001001
T 10010010001
T 10010100001
T 10011000001
T 10100000011
T 10100000101
T 10100001001
T 10100010001
T 10100100001
T 10101000001
T 10110000001
T 11000000011
T 11000000101
T 11000001001
T 11000010001
T 11000100001
T 11001000001
T 11010000001
T 11100000001
T 00000011111
T 00000101111
T 00000110111
T 00000111011
T 00000111101
T 00001001111
T 00001010111
T 00001011011
T 00001011101
T 00001100111
T 00001101011
T 00001101101
T 00001110011
T 00001110101
T 00001111001
T 00010001111
T 00010010111
T 00010011011
T 00010011101
T 00010100111
T 00010101011
T 00010101101
T 00010110011
T 00010110101
T 00010111001
T 00011000111
T 00011001011
T 00011001101
T 00011010011
T 00011010101
T 00011011001
T 00011100011
T 00011100101
T 00011101001
T 00011110001
T 00100001111
T 00100010111
T 00100011011
T 00100011101
T 00100100111
T 00100101011
T 00100101101
T 00100110011
T 00100110101
T 00100111001
T 00101000111
T 00101001011
T 00101001101
T 00101010011
T 00101010101
T 00101011001
T 00101100011
T 00101100101
T 00101101001
T 00101110001
T 00110000111
T 00110001011
T 00110001101
T 00110010011
T 00110010101
T 00110011001
T 00110100011
T 00110100101
T 00110101001
T 00110110001
T 00111000011
T 00111000101
T 00111001001
T 00111010001
T 00111100001
T 01000001111
T 01000010111
T 01000011011
T 01000011101
T 01000100111
T 01000101011
T 01000101101
T 01000110011
T 01000110101
T 01000111001
T 01001000111
T 01001001011
T 01001001101
T 01001010011
T 01001010101
T 01001011001
T 01001100011
T 01001100101
T 01001101001
T 01001110001
T 01010000111
T 01010001011
T 01010001101
T 01010010011
T 01010010101
T 01010011001
T 01010100011
T 01010100101
T 01010101001
T 01010110001
T 01011000011
T 01011000101
T 01011001001
T 01011010001
T 01011100001
T 01100000111
T 01100001011
T 01100001101
T 01100010011
T 01100010101
T 01100011001
T 01100100011
T 01100100101
T 01100101001
T 01100110001
T 01101000011
T 01101000101
T 01101001001
T 01101010001
T 01101100001
T 01110000011
T 01110000101
T 01110001001
T 01110010001
T 01110100001
T 01111000001
T 10000001111
T 10000010111
T 10000011011
T 10000011101
T 10000100111
T 10000101011
T 10000101101
T 10000110011
T 10000110101
T 10000111001
T 10001000111
T 10001001011
T 10001001101
T 10001010011
T 10001010101
T 10001011001
T 10001100011
T 10001100101
T 10001101001
T 10001110001
T 10010000111
T 10010001011
T 10010001101
T 10010010011
T 10010010101
T 10010011001
T 10010100011
T 10010100101
T 10010101001
T 10010110001
T 10011000011
T 10011000101
T 10011001001
T 10011010001
T 10011100001
T 10100000111
T 10100001011
T 10100001101
T 10100010011
T 10100010101
T 10100011001
T 10100100011
T 10100100101
T 10100101001
T 10100110001
T 10101000011
T 10101000101
T 10101001001
T 10101010001
T 10101100001
T 10110000011
T 10110000101
T 10110001001
T 10110010001
T 10110100001
T 10111000001
T 11000000111
T 11000001011
T 11000001101
T 11000010011
T 11000010101
T 11000011001
T 11000100011
T 11000100101
T 11000101001
T 11000110001
T 11001000011
T 11001000101
T 11001001001
T 11001010001
T 11001100001
T 11010000011
T 11010000101
T 11010001001
T 11010010001
T 11010100001
T 11011000001
T 11100000011
T 11100000101
T 11100001001
T 11100010001
T 11100100001
T 11101000001
T 11110000001
T 00000111111
T 00001011111
T 00001101111
T 00001110111
T 00001111011
T 00001111101
T 00010011111
T 00010101111
T 00010110111
T 00010111011
T 00010111101
T 00011001111
T 00011010111
T 00011011011
T 00011011101
T 00011100111
T 00011101011
T 00011101101
T 00011110011
T 00011110101
T 00011111001
T 00100011111
T 00100101111
T 00100110111
T 00100111011
T 00100111101
T 00101001111
T 00101010111
T 00101011011
T 00101011101
T 00101100111
T 00101101011
T 00101101101
T 00101110011
T 00101110101
T 00101111001
T 00110001111
T 00110010111
T 00110011011
T 00110011101
T 00110100111
T 00110101011
T 00110101101
T 00110110011
T 00110110101
T 00110111001
T 00111000111
T 00111001011
T 00111001101
T 00111010011
T 00111010101
T 00111011001
T 00111100011
T 00111100101
T 00111101001
T 00111110001
T 01000011111
T 01000101111
T 01000110111
T 01000111011
T 01000111101
T 01001001111
T 01001010111
T 01001011011
T 01001011101
T 01001100111
T 01001101011
T 01001101101
T 01001110011
T 01001110101
T 01001111001
T 01010001111
T 01010010111
T 01010011011
T 01010011101
T 01010100111
T 01010101011
T 01010101101
T 01010110011
T 01010110101
T 01010111001
T 01011000111
T 01011001011
T 01011001101
T 01011010011
T 01011010101
T 01011011001
T 01011100011
T 01011100101
T 01011101001
T 01011110001
T 01100001111
T 01100010111
T 01100011011
T 01100011101
T 01100100111
T 01100101011
T 01100101101
T 01100110011
T 01100110101
T 01100111001
T 01101000111
T 01101001011
T 01101001101
T 01101010011
T 01101010101
T 01101011001
T 01101100011
T 01101100101
T 01101101001
T 01101110001
T 01110000111
T 01110001011
T 01110001101
T 01110010011
T 01110010101
T 01110011001
T 01110100011
T 01110100101
T 01110101001
T 01110110001
T 01111000011
T 01111000101
T 01111001001
T 01111010001
T 01111100001
T 10000011111
T 10000101111
T 10000110111
T 10000111011
T 10000111101
T 10001001111
T 10001010111
T 10001011011
T 10001011101
T 10001100111
T 10001101011
T 10001101101
T 10001110011
T 10001110101
T 10001111001
T 10010001111
T 10010010111
T 10010011011
T 10010011101
T 10010100111
T 10010101011
T 10010101101
T 10010110011
T 10010110101
T 10010111001
T 10011000111
T 10011001011
T 10011001101
T 10011010011
T 10011010101
T 10011011001
T 10011100011
T 10011100101
T 10011101001
T 10011110001
T 10100001111
T 10100010111
T 10100011011
T 10100011101
T 10100100111
T 10100101011
T 10100101101
T 10100110011
T 10100110101
T 10100111001
T 10101000111
T 10101001011
T 10101001101
T 10101010011
T 10101010101
T 10101011001
T 10101100011
T 10101100101
T 10101101001
T 10101110001
T 10110000111
T 10110001011
T 10110001101
T 10110010011
T 10110010101
T 10110011001
T 10110100011
T 10110100101
T 10110101001
T 10110110001
T 10111000011
T 10111000101
T 10111001001
T 10111010001
T 10111100001
T 11000001111
T 11000010111
T 11000011011
T 11000011101
T 11000100111
T 11000101011
T 11000101101
T 11000110011
T 11000110101
T 11000111001
T 11001000111
T 11001001011
T 11001001101
T 11001010011
T 11001010101
T 11001011001
T 11001100011
T 11001100101
T 11001101001
T 11001110001
T 11010000111
T 11010001011
T 11010001101
